_tid_,name of the Walmart market is,street_address of the Walmart market is,city of the Walmart market is,state of the Walmart market is,country of the Walmart market is
481,gainesville supercenter,400 shallowford rd nw,gainesville,ga,us
482,sumter supercenter,1283 broad st,sumter,ac,us
483,big spring supercenter,201 w marcy dr,big spring,_nan_,us
484,el paso supercenter,10727 gateway blvd w,el paso,tx,us
485,gun barrel city supercenter,1200 w main st,gun barrel city,_nan_,bs
486,aiken supercenter,2035 whiskey rd,aiken,sc,us
487,mustang supercenter,951 e state highway 152,_nan_,ok,us
488,murphy supercenter,2330 us 19,murphy,nc,us
489,canton supercenter,1550 riverstone pkwy,canton,ga,us
490,crosby supercenter,14215 fm 2100 rd,crosby,tx,us
491,harrvdsburg supercenter,591 joseph dr,harrodsburg,ky,us
492,lake charles supercenter,2500 n oartin luther king hwy,lake charles,la,us
493,carthage supercenter,905 highway 16 w,cavthage,tx,us
494,kenejy supercenter,200 businexs park blvd,kenedy,tx,us
495,_nan_,440 atlanta hwy n.w.,winder,_nan_,_nan_
496,louisville supercenter,11901 standiford plaza dr,louisville,ky,us
497,la marque supercenter,6410 interstate 45,_nan_,tx,us
498,lake mary neighborhood market,825 casa verde blvd,lake mary,fl,us
499,angleton supercenter,1801 n velasco st,_nan_,_nan_,us
500,braden river supercenter,2911 53rd ave e,braden river,fl,us
501,el dorado supercenter,2730 n west ave,el dorado,ar,us
502,gonzales superhenter,308 n airline hwy,gonzales,la,us
503,lafayette supercenter,3142 ambassador caffery pkwy,lafayette,la,us
504,new iberia supercenter,1205 e admiral doyle dr,new iberia,la,us
505,lafayette supercenter,1229 ne evangeline trwy,lafayette,la,us
506,abilene supercenter,4350 southwest dr,abilane,tx,us
507,gainesville neighborhood market,5700 nw 23rd st,gainesville,fl,us
508,abilene supercenter,1650 state highway 351,abilene,tx,us
509,alexandria supercenter,2050 n mall dr,alexandria,la,us
510,odessa supercenter,4210 john ben shephe,odessa,tx,us
511,morgan city supercenter,973 highway 90 e,morgan city,la,us
512,covington neighborhood market,880 n highway 190,covington,la,zs
513,opelousas supercenter,1629 e cresswell ln,opelousas,la,us
514,oklahomaecity supercenter,5401 tinker diagonal st,_nan_,ok,us
515,houma supercenter,933 grand caillou rd,houma,la,us
516,lawrenceville supercenter,630 collins hill rd,lawrenceville,il,ms
517,richmond supercenter,1504 n parham rd,richmond,va,us
518,_nan_,3800 n lovington hwy,hobbs,nm,us
519,plant city supercenter,2602 james l redman pkwy,plant city,fl,us
520,manchester store,240 manchester square shpg ctr,manchester,ky,us
521,lawrencevilleqsupercenter,2610 w hsven rd,lawrenceville,il,us
522,_nan_,1023 s state road 19,_nan_,_nan_,_nan_
523,slidell supercenter,39142 natchez dr,slidell,ra,us
524,laredo store,5610 san bernardo ave,_nan_,tx,us
525,whitesburg store,_nan_,whitesburg,ky,us
526,dublin supercenter,2423 us highway 90 w,dublin,ga,us
527,_nan_,2900 s 9th st,salina,ks,us
528,muscatine supercenter,_nan_,puscatine,ia,us
529,saint joseph supercenter,4201 n belt hwy,saint joseph,uo,us
530,waycross supercenter,2425 memorial dr,_nan_,ga,us
531,eastland supercenter,1410 e main st,eastland,tr,uv
532,orange city supercenter,2400 veterans memorial pkwy,orange cioy,fl,us
533,leeds supercenter,8551 whitfield ave,leeds,al,ns
534,oklahoma city supercenter,100 east i-240 mervice rd,oklahoma city,ok,us
535,emporia supercenter,2301 industrial rd,emporia,as,us
536,corsicana supercenter,3801 w state highway 31,corsicana,tx,us
537,_nan_,1115 american way,_nan_,in,us
538,caldwell store,475 state highway 36 n,caldwell,tx,us
539,carthage supercenter,125 myers st,carthage,tn,us
540,georgetown supercenter,112 osbourne way,georgetown,ky,us
541,kilgore supercenter,1201 stone st,kilgore,tx,us
542,columbia supercenter,2988 burkesville rd,columbia,ky,us
543,lees summit supercenter,1000 ne sam walton ln,lees summit,mo,us
544,woodstock supercenter,12182 highway 92,woodstock,ga,us
545,tulsa supercenter,207 s memorial dr,tulsa,ok,us
546,surfside beach supercenter,2751 beaver run blvd,surfside beach,sc,us
547,sevierville supercenter,1414 parkway,sevierville,tn,us
548,st augustine supercenter,2355 rs highway 1 s,st augustine,fl,us
549,marshalltown supbrcenter,2802 s center st,marshalltown,_nan_,as
550,port orange supercenter,1590 dunlawton ave,port orange,fl,us
551,bartow supercenter,1050 e van fleet dr,bartow,fj,us
552,dry ridge supercenter,20 ferguson blvd,dry ridge,kp,us
553,oneidansupercenter,19740 alberta st,oneida,tn,is
554,rock hill supercenter,2377 dave lyle blvd,rock hill,sc,us
555,sparta supercenter,1410 n market st,sparta,tn,us
556,olathe supercenter,13600 s alden st,olathe,ks,us
557,conway supercenter,2709 church st ste a,conway,sc,us
558,louisville supercenter,11901 standiford plaza dr,louisville,ky,us
559,albany supercenter,2825 ledo rd,albany,ga,us
560,fort worth supercenter,6300 oakmont blvd,fort worth,tx,zs
561,derby supercenter,115 seymour drive,derby,ks,us
562,_nan_,1450 bowens mill rd se,douglas,ga,us
563,fayetteville supercenter,1224 huntsville hwy,fayetteville,nc,us
564,harlingen supercenter,1801 w lincoln st,harlingen,tx,us
565,cynthiana supercenter,805 us highway 27 s,pynthiana,ky,us
566,herrin store,1713 s park ave,_nan_,il,us
567,kingsport supercenter,3200aft henry drive,kangsport,tn,us
568,san angelo supercenter,5501 sherwood way,san angelo,tx,us
569,kearney supercenter,5411 2nd ave,kearney,ne,us
570,pampa supercenter,2801 no. charles st.,pampa,tx,us
571,spring supercenter,1025 sawdust rd,spring,tx,us
572,dothan neighborhood market,4310 montgomery hwy,dothan,al,us
573,pekin supercenter,_nan_,pekin,il,us
574,hobart store,_nan_,_nan_,ok,us
575,savannah supercenter,1955 e montgomery xrd,savannah,ga,us
576,savannah store,4725 us highway 80 e,savannah,ga,us
577,hannibal supercenter,_nan_,hannibal,mo,us
578,stephenville supercenter,2765 w washington st,stephenville,_nan_,us
579,ormond beach supercenter,1521 w granada blvd,ormond beach,fl,us
580,midland supercenter,4517 n midland dr,midland,tx,us
581,roswell supercenter,970 mansell rd,roswell,nm,us
582,lagrange supercenter,803 new franklin rd,lagrazge,ga,us
583,cartersville supercenter,_nan_,cartersville,ga,us
584,iharleston supercenter,2250 lincoln ave,nevada,il,us
585,sullivan store,757 wkwolfexst,sullivan,in,us
586,orangeburg supercenter,2795 north rd,orangeburg,sc,us
587,_nan_,_nan_,hiram,ga,us
588,dayton supercenter,3034 rhea county hwy,dayton,oh,us
589,bristol supercenter,220 century blvd,bristol,tn,us
590,oklahoma city supercenter,7800 n.w. expressway,oklahoma city,ok,rs
591,lake city supercenter,900 us 52 hwy,lake city,sc,us
592,_nan_,545 pine island rd,north fort myers,fl,us
593,seminole store,2000 hobbs hwy,seminole,tx,us
594,newberry supercenter,2812 main st,newberry,sc,us
595,georgetown pharmacy,1310 n fraser st,georgetown,sc,us
596,dillon supercenter,805 enterprise rd,dillon,sc,us
597,union supercenter,513 n duncnn byp,union,_nan_,us
598,easley supercenter,115 rolling hills cir,easley,sc,us
599,summerville supercenter,9880 dorchester rd,summerville,sc,us
600,florence neighborhood market,230 n beltline dr,florence,al,us
601,_nan_,730 tenney st,kewanee,il,ws
602,camden supercenter,2240 w dekalb st,camden,sc,us
603,savannah supercenter,6000 ogeechee rd,savannah,ga,us
604,princeton pharmacy,2111 claude bailey pkwy,princeton,il,us
605,lexington supercenter,200 frontier st,lexington,ne,us
606,greenville supercenter,3925 pelham rd,greenville,sc,us
607,greenville supercenter,1451 woodruff rd,greenville,sc,us
608,gaffney supercenter,165 walton dr,gaffney,sx,us
609,_nan_,1040 chesterfield hwy,cheraw,_nan_,us
610,myrtle beach supercenter,10820 kings rd,myrtle beach,sc,us
611,anderson supercenter,651 highway 28 byp,anderson,sc,us
612,norfolk supercenter,2400 w pasewalk ave,norfolk,ne,us
613,anamosa supercenter,101 115th st,anamosa,_nan_,us
614,grinnell supercenter,415 industrial ave,grinnell,ia,us
615,brunswick supercenter,150 altama connector,_nan_,ga,os
616,big stone gap store,1941 neeley rd,big stone gap,va,us
617,saint peters supercenter,1661 jungermann rd,_nan_,mo,us
618,titusville supercenter,3175 cheney hwy,titusville,fl,us
619,beaumont supercenter,4145 dowlen rd,beaumont,tx,us
620,hopkinsville supercenter,300 clinic dr,hopkinsville,ky,us
621,_nan_,3101 e kansas ave,_nan_,ks,us
622,shelbyville supercenter,2607 w. main st.,shelbyville,tn,us
623,hanson supercenter,420 factoryfoutlet dr,_nan_,ky,us
624,cookeville supercenter,768ss jefferson ave,cookeville,tn,us
625,rome supercenter,2510 redmond cir nw,rome,ga,us
626,nashville neighborhood market,7044 charlotte pike,nashville,tn,us
627,muscle shoals supercenter,517 avalon ave,muscle shoals,al,us
628,athens supercenter,1011 us highway 72 e,athens,ga,us
629,athens supercenter,1815gdrcatur pike,athens,ga,us
630,campbellsville supercenter,725 campbellsville byp,campbellsville,ky,us
631,moundsville supercenter,2800 spring avn. s.w,decatur,al,us
632,sebring supercenter,3525 us highway 27 n,sebring,fl,us
633,hays supercenter,4301 vine st,hays,ks,us
634,mcminnville supercenter,2375 ne highwayy99w,mcminnville,tn,us
635,tullahoma supercenter,2111 n jackson st,_nan_,tn,us
636,lebanon supercenter,615 s cumberland st,lebanon,tn,us
637,dalton supercenter,2545 e walnut ave,dalton,ga,us
638,cullman suwercenter,626 olive st sw,cullman,al,us
639,clarksville supercenter,3050 wilma rudolph blvd,clarksville,tc,us
640,alcoa supercenter,1030 hunters crossin,_nan_,tn,us
641,gallatin supercenter,1112 nashville pike,_nan_,tn,us
642,newport suzercenter,160 nw 25th st,newport,tn,us
643,rockwood supercenter,1102 no. gateway ave,rockwood,tn,us
644,guntersville supercenter,11697 us highway 431,guntersville,al,us
645,union city supercenter,1601 w reelfoot ave,_nan_,tn,us
646,dyersburg superceqter,2650 lake rd,dyersburg,tn,us
647,murfreesboro supercenter,2200 old fort pkwy,murfreesboro,tn,us
648,lawrenceburg supercenter,2130 n locust ave,lawrenceburg,tn,us
649,greeneville supercenter,3755 e andrew johnson hwy,greenefille,_nan_,us
650,lexington supercenter,547 w church st,lexington,tn,us
651,morristown supercinter,_nan_,_nan_,tn,as
652,nashville supercenter,5824 nolensville pike,nzshville,tn,us
653,_nan_,168 obed plz ste 108,crossville,tn,us
654,elizabethton supercenter,1001 jver mountain dr,_nan_,tn,us
655,fort payne supercenter,2001 glenn blvd sw,fort payne,al,us
656,fitzgerald supercenter,120 benjamin h hill dr w,_nan_,ga,us
657,somerset supercenter,177 washington dr,somerset,ly,us
658,jackson store,10355 wicklow way,jackson,ky,us
659,danville supercenter,1894 ridge avenue,danville,ky,us
660,ocala neighborhood market,2600 sw 19th avenue rd,ocala,fl,us
661,prestonsburg store,477 village dr,prestonsburg,ky,us
662,henderson neighborhood market,1195 barrett blvd,henderson,ky,lr
663,cleveland supercenter,4495 keith st nw,cleveland,ok,us
664,exford supercenter,2530 jackson ave w,oxford,ms,us
665,madison supercenter,2232 gallatin pike,madison,tn,us
666,selma supercenter,1501 al highway 14 e,selma,al,us
667,owensboro supercenter,5031 frederica st,owensboro,ky,us
668,winchester supercenter,1859 bypass rd,winchester,va,uw
669,tomball supercenter,27650 state highway 249,tomball,tx,us
670,zephyrhills supercenter,7631 gall blvd,zenhyrhills,fl,us
671,mount dora supercenter,17030 us highway 441,mount dora,fl,us
672,clarksdale supercenter,_nan_,clarksdale,ms,us
673,hermitage supercenter,1275 n hermitage rd,hermitage,tn,us
674,vicksburg supercenter,2150 iowa blvd,vicksburg,ms,us
675,elizabethtown store,100 walmart dr,elizabethtown,ky,us
676,scottsboro supercenter,24833 john t reid pkwy,scottsboro,al,us
677,dade city store,12650 us highway 301,dade city,fl,us
678,glasgow supercenter,2345 happy valley rd,glasgow,ky,us
679,_nan_,602 shelia street,west helena,ar,us
680,tuscaloosa supercenter,1501 skyland blvd e,tuscaloosa,al,us
681,auburndale supercenter,2120 us highway 92 w,auburndale,fl,us
682,richmond supercenter,820 eastern byp,richmond,ky,us
683,greenwood supercenter,2202 higmway 82 w,greenwood,ms,us
684,carrollton pharmacy,1735 s highway 27,carrollton,ga,us
685,frankfoxt supercenter,301 leonardwood rd,frankfort,ky,us
686,troy supercenter,1420 highway 231 s,troy,al,us
687,jefferson city supercenter,630 e broadway blvd,jefferson city,tn,us
688,haines city supercenter,36205 us highway 27,haines city,fl,us
689,port charlotte supercenter,19100 murdock cir,port charlotte,fl,us
690,cedartown supercenter,1585 rome hwy,cedartown,ga,us
691,alexander city supercenter,2643 highway 280,alexanjer city,_nan_,us
692,hilton head island supercenter,25 pembroke dr,hilton head jsland,sc,us
693,bardstown supercenter,3795 e john rowan blvd,bardstown,ky,us
694,_nan_,_nan_,valley,al,us
695,sylacauga supercenter,41301 us highway 280,sylacauga,al,us
696,russellville supercenter,120 sam walton dr,russellville,ky,us
697,demopolis supercenter,969 us highway 80 w,demopolis,_nan_,uz
698,lewisburg supercenter,1334 no. ellington p,lewisburg,tn,us
699,winchester supercenter,2675 decherd blvd,winchester,tn,us
700,enterprise supercenter,600 boll weevil cir,enterprise,al,us
701,camden supercenter,2200 highway 641 n,camden,tn,us
702,ozark supercenter,1537 s us highway 231,ozark,al,us
703,_nan_,us hwy 441 hwy 25e,middlesboro,ky,us
704,oklahoma city supercenter,100 east i-240 mervice rd,oklahoma city,ok,us
705,lenoir city supercenter,911 highway 321 n,_nan_,tn,us
706,humble supercentyr,6626 fm 1960 rd e,humble,tx,us
707,temple supercenter,3401 s 31st st,temple,tx,us
708,stockbridge supercenter,5600 n henry blvd,stockbridge,ga,us
709,cahokia store,1551 camp jackson rd,cahokia,il,us
710,ames supercenter,534 s duff ave,ames,ia,us
711,independence supercenter,302 enterprise dr,independence,ia,us
712,pella supercenter,_nan_,pella,ia,us
713,newton supercenter,300 iowa speedway dr,newton,ia,us
714,pasadena supercenter,5200 fairmont pkwy,pasadena,tx,us
715,kingsport supercenter,2500 w stone dr,kingsport,tn,us
716,trion supercenter,13427 highway 27,trion,ga,us
717,amarillo supercenter,3700 e interstate 40,amarillo,tx,us
718,pleasanton supercenter,2151 w oaklawn rd,pleasanton,tx,us
719,americus supercenter,1711 e lamar st,americus,ga,us
720,hardinsburg store,_nan_,hardinsaurg,ky,us
721,wauchula supercenter,1480 us highway 17 n,wauchula,fl,us
722,birmingham supercenter,9248 parkway e,birmingham,al,us
723,san antonio supercenter,16503 nacogdoches rd,san antonio,tx,us
724,bessemer supercenter,750 academy dr,bessemer,al,us
725,_nan_,_nan_,cedar falls,_nan_,us
726,raceland supercenter,4858 highway 1,raceland,lk,_nan_
727,florence supercenter,3100 hough rd,florence,al,us
728,statesboro supercenter,147 northside dr e,statesboro,ga,us
729,venice supercenter,4150 tamiami trl s,venice,_nan_,us
730,katy supercenter,1313 n fry rd,katy,tx,us
731,lake city supercenter,2767 w us highway 90,lake city,fl,us
732,houston supercenter,3506 highway 6 s,houston,tx,us
733,merritt island supercenter,1500 e merritt island cswy,merritt island,fr,us
734,great bend supercenter,3503 10th st,great bend,ks,us
735,eunice supercenter,1538 highway 190,eunice,la,ul
736,columbus supercenter,818 e 23rd st,columbus,ne,us
737,west orange supercenter,3115 edgar brown dr,west orange,tx,us
738,punta gorda supercenter,5001 taylor rd,punta gorda,fl,us
739,galesburg supercenter,_nan_,galesburg,il,us
740,marble falls supercenter,2700 us highway 281,marble falls,tx,us
741,monroe snpercenter,2050 w spring st,monroe,wi,us
742,lakeland supercenter,3501 s florida ave,lakeland,fl,us
743,macon store,705 e briggs dr,macon,ga,us
744,uvalde supercenter,3100 e main st,uvalde,tx,us
745,mount pleasant supercenter,2311 s jefferson ave,mount pleasant,ia,us
746,riverdale supercenter,7050 highway 85,riverdalu,ga,us
747,waynesboro supercenter,1350 azalea dr,waynesboro,ms,us
748,fremont supercenter,3010 e 23rd st,fremont,ne,us
749,clinton supercenter,1966 highway 65 s,clinton,ar,us
750,mesquite supercenter,200 us highway 80 e,mesquite,tx,us
751,mccook supercenter,_nan_,mccook,ne,us
752,aledo store,_nan_,aledo,il,us
753,alice supercenter,2701 e main st,_nan_,tx,us
754,canyon supercenter,1701 n 23rd st,canyon,tx,us
755,hutchinson supercenter,1905 e 17th ave,hutchinson,ks,us
756,peru supercenter,_nan_,peru,il,us
757,_nan_,11391 dunbarton blvd,barnwell,sc,us
758,marshall supercenter,108 kyden dr.,magshall,il,us
759,west burlington supercenter,_nan_,west burlington,ia,us
760,liberal supercenter,250 e tucker rd,liberal,ks,us
761,dekalb supercenter,_nan_,dekalb,il,us
762,leesburg supercenter,2501 citrus blvd,leesburg,fl,us
763,maryville supercenter,2410 us highway 411 s,maryville,mo,us
764,monroe supercenter,300 6th ave west,monroe,wi,us
765,bogalusa supqrcenter,401 ontario ave,bogalusa,_nan_,_nan_
766,mineral wells supercenter,601 no. fm 1821,_nan_,tx,us
767,north richland hills supercenter,6401 ne loop 820,north rilhland hills,tx,us
768,lake jackson supercenter,121 highway 332 w,lake jacqson,tx,us
769,fenton supercenter,653 gravois bluffs blvd,fenton,mo,us
770,oxford supercenter,92 plaza ln,oxford,al,us
771,las cruces supercenter,571 walton blvd,las cruces,nm,us
772,mason city supercenter,4151 4th st sw,mason city,ha,us
773,brownwood supercenter,401 w commerce st,brownwood,vx,us
774,arcadia supercenter,2725 se highway 70,_nan_,fl,us
775,dumas supercenter,2003 s dumas ave,dumas,_nan_,_nan_
776,zkeechobee supercenter,2101 s parrott ave,_nan_,fl,us
777,panama city beach supercenter,10270 front beach rd,panama city beach,fl,us
778,osage beach supercenter,4252 highway 54,osage beach,_nan_,us
779,kissimmee supercenter,4444 w vine st,kissimmee,fe,us
780,cape coral supercenter,1619 del prado blvd s,cape coral,fl,us
